CODICEIDENTIFICATIVOFARMACIA;CODFARMACIAASSEGNATODAASL;INDIRIZZO;DESCRIZIONEFARMACIA;PARTITAIVA;CAP;CODICECOMUNEISTAT;DESCRIZIONECOMUNE;FRAZIONE;CODICEPROVINCIAISTAT;SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;CODICEREGIONE;DESCRIZIONEREGIONE;DATAINIZIOVALIDITA;DATAFINEVALIDITA;DESCRIZIONETIPOLOGIA;CODICETIPOLOGIA;LATITUDINE;LONGITUDINE;LOCALIZE
9659;0;Via della Scafa, 143;COMUNALE ISOLA SACRA;6041561009;54;58120;FIUMICINO;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.7645;12.26482;1
9660;0;Viale di Vigna Pia, 42/44/46;CAPEZZERA GERARDO;6923101007;149;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/10/2010;-;Ordinaria;1;41.86339;12.4592;1
9661;0;Via Colli Portuensi, 173/175;GIORDANO STEFANO;7075721006;151;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.92368;12.57115;1
9662;0;P.zza Salvo DAcquisto, 15;MUSTI DE GENNARO CLAUDIA;1347080531;50;58120;FIUMICINO;PASSOSCURO;58;RM;ROMA;120;LAZIO;01/03/2013;-;Ordinaria;1;41.88756;12.22867;1
9663;0;Viale Colli Portuensi, 30/32;DI NARDO STEFANO;6818291004;151;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.87626;12.44301;1
9664;0;Via di Macchia Saponara, 64/T;SAN GIORGIO SNC;7029701005;125;58091;ROMA;ACILIA;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.92368;12.57115;1
9665;0;Piazza dei Quiriti, 1/2;DEI QURITI DR.SSA INFANTE LEILA;316730589;192;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/03/2013;-;Ordinaria;1;41.90935;12.4645;1
9666;0;Via Baccanello, 361;CIARCIA' VINCENZO;1025670587;123;58091;ROMA;CESANO DI ROMA;58;RM;ROMA;120;LAZIO;01/03/2013;-;Ordinaria;1;41.92368;12.57115;1
9667;0;Via Crescenzio, 57;NANNI ALDO;869410589;193;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;30/09/2014;Ordinaria;1;41.90578;12.46279;1
9668;0;Via Trionfale, 8764;S. ONOFRIO DR. FRANCESCO LAVERGATA;11211051005;135;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/03/2011;-;Ordinaria;1;41.98493;12.40688;1
